name,_id,run_start_time,run_end_time,status,status_message,nrc_create_necb_prototype_building.building_type,nrc_create_necb_prototype_building.epw_file,nrc_create_necb_prototype_building.template,nrc_report_utility_costs.total_site_energy,openstudio_results.eui
WarehouseSK_SaskatoonNECB2011,ccac8783-d2af-4dee-86fa-c91beea25f48,2021-12-24T15:51:00.101Z,2021-12-24T15:53:13.442Z,completed,completed normal,Warehouse,SK_Saskatoon,NECB2011,752100,155.5404577
MediumOfficeON_Sault.Ste.MarieNECB2017,cccfa718-f119-4d3e-abe0-8630a0c5cf4d,2021-12-24T16:28:30.951Z,2021-12-24T16:33:39.485Z,completed,completed normal,MediumOffice,ON_Sault.Ste.Marie,NECB2017,684400,137.3654067
SmallOfficeNS_HalifaxNECB2020,cd1bbc36-caaa-4bd2-bd98-9970af614c22,2021-12-24T15:56:06.838Z,2021-12-24T15:58:56.144Z,completed,completed normal,SmallOffice,NS_Halifax,NECB2020,57390,112.2664354
LargeOfficeAB_CalgaryNECB2020,cd22a73b-c1bc-41f0-b63c-ae2d0104052d,2021-12-24T17:38:06.220Z,2021-12-24T17:45:27.585Z,completed,completed normal,LargeOffice,AB_Calgary,NECB2020,4707000,101.6089222
MidriseApartmentNB_FrederictonNECB2017,cda5b1dc-772f-4558-850f-c6b26187a8ef,2021-12-24T17:05:14.151Z,2021-12-24T17:13:40.699Z,completed,completed normal,MidriseApartment,NB_Fredericton,NECB2017,512900,163.6203901
LargeOfficeNT_Inuvik-ZubkoNECB2020,cdd6ff6f-6f5c-40af-9c94-6adb67fd28da,2021-12-24T17:51:13.780Z,2021-12-24T17:56:53.321Z,completed,completed normal,LargeOffice,NT_Inuvik-Zubko,NECB2020,4931000,106.4581196
SmallOfficeAB_Fort.McMurrayNECB2020,ce6543cc-2247-404e-92b3-9e469d13de2b,2021-12-24T15:53:21.842Z,2021-12-24T15:56:06.668Z,completed,completed normal,SmallOffice,AB_Fort.McMurray,NECB2020,64070,125.3412717
RetailStripmallON_Sault.Ste.MarieNECB2015,cea50673-5660-493f-bec0-6991f9b807ff,2021-12-24T16:43:29.708Z,2021-12-24T16:46:20.911Z,completed,completed normal,RetailStripmall,ON_Sault.Ste.Marie,NECB2015,577200,276.1113663
RetailStandaloneAB_CalgaryNECB2020,cfc090b5-29f1-41bb-b409-40011b93afee,2021-12-24T16:03:33.996Z,2021-12-24T16:06:23.160Z,completed,completed normal,RetailStandalone,AB_Calgary,NECB2020,371500,161.9291666
FullServiceRestaurantYT_WhitehorseNECB2017,cfd76cbd-01d7-4250-b14f-0f7e910a4935,2021-12-24T16:57:05.404Z,2021-12-24T16:59:14.721Z,completed,completed normal,FullServiceRestaurant,YT_Whitehorse,NECB2017,259400,507.4722575
