IATA_ID,Name,Updated Name,WMO_ID,MSC_ID,Latitude,Longitude,Elevation(m),Data_Provider,Dataset/Network,AUTO/MAN,Province/Territory
CPCM,CRAIGMYLE AGCM,Craigmyle Agcm,71013,3021912,51.775,-112.252223,845,GovAB,CA,AUTO,Alberta
CPCN,CAPPON,Cappon,,3021200,51.066947,-110.796689,758,GovAB,CA,AUTO,Alberta
CPCR,GLENWOOD,Glenwood,71885,3032818,49.334444,-113.524444,1074,GovAB,CA,AUTO,Alberta
CPCS,CLEAR HILLS AGCM,Clear Hills Agcm,,3071661,56.528905,-117.933352,672,GovAB,CA,AUTO,Alberta
CPCY,CARWAY,Carway,71488,3031402,48.9996,-113.3791,1355.1,MSC,CA,AUTO,Alberta
CPDA,DELBURNE AGCM,Delburne Agcm,71014,3012050,52.182779,-113.175557,889,GovAB,CA,AUTO,Alberta
CPDB,DEWBERRY AGCM,Dewberry Agcm,71359,3012073,53.659169,-110.587502,616,GovAB,CA,AUTO,Alberta
CPDO,DEADWOOD AGCM AB,Deadwood Agcm Ab,,3071957,56.715289,-117.54335,551,GovAB,CA,AUTO,Alberta
CPDU,DUPRE AGCM,Dupre Agcm,71414,3081690,54.366946,-110.867779,556,GovAB,CA,AUTO,Alberta
CPEA,EDGERTON AGCM,Edgerton Agcm,71360,3012192,52.777778,-110.432778,649,GovAB,CA,AUTO,Alberta
CPEL,EAGLESHAM AGCM,Eaglesham Agcm,71461,3072151,55.808056,-117.886667,563,GovAB,CA,AUTO,Alberta
CPFA,FERINTOSH AGCM,Ferintosh Agcm,71673,3012590,52.743614,-112.85778,795,GovAB,CA,AUTO,Alberta
CPFB,FORT ASSINIBOINE AGCM,Fort Assiniboine Agcm,71483,3062660,54.410279,-114.769168,676,GovAB,CA,AUTO,Alberta
CPFE,FLEET AGCM,Fleet Agcm,,3012635,52.040836,-111.813058,823,GovAB,CA,AUTO,Alberta
CPFF,FINNEGAN AGCM,Finnegan Agcm,,3022650,51.05319,-112.09737,748,GovAB,CA,AUTO,Alberta
CPFI,FINCASTLE AGDM,Fincastle Agdm,71535,3032550,49.8,-112.033333,833,GovAB,CA,AUTO,Alberta
CPFM,FORT MACLEOD AGCM,Fort Macleod Agcm,71789,3032683,49.785833,-113.379447,978,GovAB,CA,AUTO,Alberta
CPFO,FORESTBURG AGCM,Forestburg Agcm,71674,3012653,52.548335,-112.123334,721,GovAB,CA,AUTO,Alberta
CPFR,ST. FRANCIS,St. Francis,,3012799,53.294731,-114.320011,809,GovAB,CA,AUTO,Alberta
CPGB,GOOSEBERRY LAKE AGCM,Gooseberry Lake Agcm,,3012871,52.113056,-110.8025,740,GovAB,CA,AUTO,Alberta
CPGC,GLENEVIS AGCM,Glenevis Agcm,71500,3012818,53.832502,-114.53889,670,GovAB,CA,AUTO,Alberta
CPGE,GILT EDGE NORTH AGCM,Gilt Edge North Agcm,71791,3012790,53.070835,-110.620836,647,GovAB,CA,AUTO,Alberta
CPGF,GREAT FALLS CLIMATE,Great Falls Climate,71570,5031201,50.459013,-96.010316,247.452,MSC,CA,AUTO,Manitoba
CPGH,GIMLI CLIMATE,Gimli Climate,71748,5031042,50.6333,-97.05,231.6,MSC,CA,AUTO,Manitoba
CPGI,GLEICHEN AGCM,Gleichen Agcm,71498,3032801,50.934446,-112.940558,907,GovAB,CA,AUTO,Alberta
CPGL,GRASSY LAKE,Grassy Lake,71788,3032927,49.873611,-111.732778,783,GovAB,CA,AUTO,Alberta
CPGT,GLADSTONE AGCM,Gladstone Agcm,,3012810,52.987248,-112.278082,704,GovAB,CA,AUTO,Alberta
CPHA,HALKIRK AGCM,Halkirk Agcm,71792,3012999,52.116391,-112.164167,843,GovAB,CA,AUTO,Alberta
CPHE,HEMARUKA AGCM,Hemaruka Agcm,71793,3013140,51.779724,-111.211946,780,GovAB,CA,AUTO,Alberta
CPHJ,HIGH LEVEL,High Level,73085,3073148,58.6314,-117.163738,338.583,MSC,CA,AUTO,Alberta
CPHR,HESPERO AGCM,Hespero Agcm,71540,3023200,52.310002,-114.485834,965,GovAB,CA,AUTO,Alberta
CPHU,HUGHENDEN AGCM,Hughenden Agcm,71794,3013362,52.578058,-110.783612,703,GovAB,CA,AUTO,Alberta
CPHW,HAWK HILLS AGCM,Hawk Hills Agcm,71507,3073071,57.264723,-117.297503,455,GovAB,CA,AUTO,Alberta
CPIA,IRVINE AGCM,Irvine Agcm,71795,3033550,49.989169,-110.261391,795,GovAB,CA,AUTO,Alberta
CPIF,ISLAND FALLS (AUT),Island Falls (Aut),71331,4063605,55.528161,-102.345178,299.453,MSC,CA,AUTO,Saskatchewan
CPII,ISLAND LAKE SOUTH,Island Lake South,71654,3063600,54.816833,-113.56,619.7,MSC,CA,AUTO,Alberta
CPIL,LOON LAKE RCS,Loon Lake Rcs,71273,4064620,54.0197,-109.1383,547.1,MSC,CA,AUTO,Saskatchewan
CPIN,BERNARD HARBOUR,Bernard Harbour,73231,2300556,68.75528,-114.9397,62,DND,DND-AWOS,AUTO,Nunavut
CPIR,IRON SPRINGS AGDM,Iron Springs Agdm,71528,3033498,49.9,-112.733333,858,GovAB,CA,AUTO,Alberta
CPJM,ESTEVAN RCS,Estevan Rcs,71559,4012410,49.205347,-102.967084,579.353,MSC,CA,AUTO,Saskatchewan
CPJP,CROSS LAKE JENPEG 2,Cross Lake Jenpeg 2,71106,5060622,54.539722,-98.030278,221,MSC,CA,AUTO,Manitoba
CPJT,JEAN COTE AGCM,Jean Cote Agcm,71541,3073535,55.912779,-117.119724,638,GovAB,CA,AUTO,Alberta
CPKA,KESSLER AGCM,Kessler Agcm,71796,3013644,52.290278,-111.113057,720,GovAB,CA,AUTO,Alberta
CPKG,KEG RIVER AGCM,Keg River Agcm,,3073644,57.7875,-117.676667,408,GovAB,CA,AUTO,Alberta
CPKI,KITSCOTY AGCM,Kitscoty Agcm,71797,3013660,53.353335,-110.416112,664,GovAB,CA,AUTO,Alberta
CPKK,KINIKINIK,Kinikinik,,3063640,54.563075,-112.981117,629,GovAB,CA,AUTO,Alberta
CPKO,KEOMA AGCM,Keoma Agcm,,3033620,51.19056,-113.63056,945,GovAB,CA,AUTO,Alberta
CPKR,KINSELLA RESEARC STATION,Kinsella Researc Station,,3013647,53.046944,-111.5475,701,GovAB,CA,AUTO,Alberta
CPKY,ROCKY LANE AGCM,Rocky Lane Agcm,,3075550,58.451683,-116.48056,301,GovAB,CA,AUTO,Alberta
CPLA,LINDEN AGCM,Linden Agcm,71035,3023850,51.618891,-113.655558,914,GovAB,CA,AUTO,Alberta
CPLC,LA CRETE AGCM,La Crete Agcm,71542,3073730,58.171947,-116.342778,323,GovAB,CA,AUTO,Alberta
CPLE,LYNN LAKE RCS,Lynn Lake Rcs,71632,5061649,56.8618,-101.0681,355.7,MSC,CA,AUTO,Manitoba
CPLF,LEGAL AGCM,Legal Agcm,71544,3013790,54.003056,-113.474445,680,GovAB,CA,AUTO,Alberta
CPLG,LA GLACE AGCM,La Glace Agcm,71543,3073740,55.421945,-119.254723,760,GovAB,CA,AUTO,Alberta
CPLS,KEY LAKE,Key Lake,71033,4063753,57.25,-105.6,515.5,MSC,CA,AUTO,Saskatchewan
CPLY,ISPAS,Ispas,,3065712,53.851389,-111.835283,655,GovAB,CA,AUTO,Alberta
CPLZ,LODGE CREEK,Lodge Creek,,3023900,49.45771,-110.3412,1068,GovAB,CA,AUTO,Alberta
CPMA,MANNVILLE AGCM,Mannville Agcm,71047,3014195,53.455557,-111.25528,656,GovAB,CA,AUTO,Alberta
CPMB,MANYBERRIES AGCM,Manyberries Agcm,71051,3044203,49.363889,-110.678057,927,GovAB,CA,AUTO,Alberta
CPMK,MANKOTA,Mankota,71204,4034910,49.1,-107.0167,831.5,MSC,CA,AUTO,Saskatchewan
CPML,MOSSLEIGH AGCM,Mossleigh Agcm,71057,3034577,50.672501,-113.348613,965,GovAB,CA,AUTO,Alberta
CPMN,MYRNAM AGCM,Myrnam Agcm,71065,3014690,53.720002,-111.114446,580,GovAB,CA,AUTO,Alberta
CPMR,ST. MARY RESERVOIR,St. Mary Reservoir,71837,3056100,49.361389,-113.11,1128,GovAB,CA,AUTO,Alberta
CPNB,EVANSBURG2 AGCM,Evansburg2 Agcm,71481,3062476,53.613889,-115.062247,785,GovAB,CA,AUTO,Alberta
CPNS,NEW SAREPTA AGCM,New Sarepta Agcm,71067,3014795,53.262225,-113.165002,765,GovAB,CA,AUTO,Alberta
CPNU,SUNNYNOOK AGCM,Sunnynook Agcm,,3026264,51.300836,-111.388064,775,GovAB,CA,AUTO,Alberta
CPNX,RANFURLY AUTO,Ranfurly Auto,71637,3015401,53.4249,-111.7257,688,MSC,CA,AUTO,Alberta
CPOX,SASKATOON RCS,Saskatoon Rcs,71496,4057165,52.173753,-106.718888,505.123,MSC,CA,AUTO,Saskatchewan
CPOY,CYPRESS RIVER RCS,Cypress River Rcs,71239,5010641,49.562407,-99.073804,375.603,MSC,CA,AUTO,Manitoba
CPPL,PAKOWKI LAKE AGCM,Pakowki Lake Agcm,71070,3045000,49.224724,-111.126113,915,GovAB,CA,AUTO,Alberta
CPPN,SOCIAL PLAINS AGCM,Social Plains Agcm,,3036040,50.732,-110.2147,741,GovAB,CA,AUTO,Alberta
